Title,Certificate,Runtime,Genres,IMDb-rating,Metascore,Description,Directors,Stars,Votes,Gross
We Need to Talk About Kevin,R,112 min,"Drama, Mystery, Thriller",7.5,68,"Kevin's mother struggles to love her strange child, despite the increasingly dangerous things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined.",Lynne Ramsay,"Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell",131794,1738692
The Year My Parents Went on Vacation,PG,110 min,Drama,7.4,67,"A boy is left alone in a Jewish neighborhood in the year of 1970, where both world cup and dictatorship happen in Brazil.",Cao Hamburger,"Michel Joelsas, Germano Haiut, Daniela Piepszyk, Paulo Autran",5872,763066
The Barbarian Invasions,R,99 min,"Comedy, Crime, Drama",7.6,70,"During his final days, a dying man is reunited with old friends, former lovers, his ex-wife, and his estranged son.",Denys Arcand,"Rémy Girard, Dorothée Berryman, Stéphane Rousseau, Marie-Josée Croze",27723,3432342
Life Is Beautiful,PG-13,116 min,"Comedy, Drama, Romance",8.6,,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano",595582,57598247
Le Dîner de Cons,PG-13,80 min,Comedy,7.7,73,"A rich publisher meets a stupid but very kind person. Publisher planned to laugh at him, but it so happened that this person was the only one who stay with him when publisher's life began to crumble.",Francis Veber,"Thierry Lhermitte, Jacques Villeret, Francis Huster, Daniel Prévost",36132,4065116
Beauty Is Embarrassing,Not Rated,88 min,"Documentary, Biography, Comedy",7.4,72,A documentary on the life and current times of artist Wayne White.,Neil Berkeley,"Wayne White, Mimi Pond, Paul Reubens, Mark Mothersbaugh",1092,
Bottle Rocket,R,91 min,"Comedy, Crime, Drama",7,66,Three friends plan to pull off a simple robbery and go on the run.,Wes Anderson,"Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler",67527,560069
Mean Streets,R,112 min,"Crime, Drama, Thriller",7.3,96,A small-time hood aspires to work his way up the ranks of a local mob.,Martin Scorsese,"Robert De Niro, Harvey Keitel, David Proval, Amy Robinson",94426,3132645
Adam's Apples,R,94 min,"Comedy, Crime, Drama",7.8,,A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,Anders Thomas Jensen,"Ulrich Thomsen, Mads Mikkelsen, Nicolas Bro, Paprika Steen",43935,1305
The Hunt,R,115 min,Drama,8.3,77,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm",263471,687185
Rang De Basanti - Die Farbe Safran,Not Rated,167 min,"Comedy, Drama",8.2,,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi",106663,2197331
Taare Zameen Par - Ein Stern auf Erden,PG,165 min,"Drama, Family",8.4,,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma",157008,1223869
Amores Perros,R,154 min,"Drama, Thriller",,,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero",216376,5383834
The Intouchables,R,112 min,"Biography, Comedy, Drama",8.5,,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Olivier Nakache, Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",725759,13182281
A Separation,PG-13,123 min,Drama,8.3,95,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini",210665,7098492
Departures,PG-13,130 min,"Drama, Music",8.1,68,A newly unemployed cellist takes a job preparing the dead for funerals.,Yôjirô Takita,"Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki, Kazuko Yoshiyuki",46999,1498210
Let the Right One In,R,114 min,"Drama, Horror, Romance",7.9,82,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",Tomas Alfredson,"Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl",200941,2122065
The Battle of Algiers,Not Rated,121 min,"Drama, War",8.1,96,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash",49897,55908
Moscow Does Not Believe in Tears,PG,150 min,"Comedy, Drama, Romance",8.1,,"This is a life story of three girlfriends from youth to autumn ages. Their dreams and wishes, love, disillusions. Different careers. And big late love.",Vladimir Menshov,"Vera Alentova, Aleksey Batalov, Irina Muravyova, Raisa Ryazanova",10935,2500000
Amarcord,R,123 min,"Comedy, Drama",7.9,,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,Federico Fellini,"Magali Noël, Bruno Zanin, Pupella Maggio, Armando Brancia",38045,
Spirited Away,PG,125 min,"Animation, Adventure, Family",8.6,96,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi",610483,10055859
Le Trou,Not Rated,131 min,"Crime, Drama, Thriller",8.5,,In prison four long-sentence inmates planning an elaborate escape cautiously induct a new inmate to join in their scheme which leads to distrust and uncertainty.,Jacques Becker,"André Bervil, Jean Keraudy, Michel Constantin, Philippe Leroy",14286,33187
Metropolis,Not Rated,153 min,"Drama, Sci-Fi",8.3,98,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge",153547,1236166
Scenes from a Marriage,PG,283 min,Drama,8.4,,Ten years within the marriage of Marianne and Johan.,,,14331,
Persona,Not Rated,83 min,"Drama, Thriller",8.1,86,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand",95865,
