Title,Certificate,Runtime,Genres,IMDb-rating,Metascore,Description,Directors,Stars,Votes,Gross
The Tree of Life,PG-13,139 min,"Drama, Fantasy",6.8,85,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken",163413,13303319
Cashback,R,102 min,"Comedy, Drama, Romance",7.2,,"After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild.",Sean Ellis,"Sean Biggerstaff, Emilia Fox, Michelle Ryan, Erica Ellis",81382,24942
An Education,PG-13,100 min,Drama,7.3,85,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.",Lone Scherfig,"Carey Mulligan, Peter Sarsgaard, Alfred Molina, Olivia Williams",125919,12574715
Dogville,R,178 min,"Crime, Drama",8,,"A woman on the run from the mob is reluctantly accepted in a small Colorado town. In exchange, she agrees to work for them. As a search visits the town, she finds out that their support has a price. Yet her dangerous secret is never far away.",Lars von Trier,"Nicole Kidman, Paul Bettany, Lauren Bacall, Harriet Andersson",133073,1530386
Palindromes,Not Rated,100 min,"Comedy, Drama",6.7,,"Aviva is thirteen, awkward and sensitive. Her mother Joyce is warm and loving, as is her father, Steve, a regular guy who does have a fierce temper from time to time. The film revolves around her family, friends and neighbors.",Todd Solondz,"Jennifer Jason Leigh, Ellen Barkin, Stephen Adly Guirgis, Matthew Faber",11855,553368
Taxidermia,Not Rated,91 min,"Comedy, Drama, Horror",6.9,83,"Three generations of men, including a pervert that constantly seeks for new kinds of satisfaction, an obese speed eater and a passionate embalmer.",György Pálfi,"Csaba Czene, Gergely Trócsányi, Marc Bischoff, Gina Moreno",16029,10205
Moonrise Kingdom,PG-13,94 min,"Comedy, Drama, Romance",7.8,84,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",Wes Anderson,"Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray",306931,45512466
Dancer in the Dark,R,140 min,"Crime, Drama, Musical",8,61,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",Lars von Trier,"Björk, Catherine Deneuve, David Morse, Peter Stormare",98728,4184036
"The Cook, the Thief, His Wife & Her Lover",NC-17,124 min,"Crime, Drama",7.6,62,The wife of an abusive criminal finds solace in the arms of a kind regular guest in her husband's restaurant.,Peter Greenaway,"Richard Bohringer, Michael Gambon, Helen Mirren, Alan Howard",33509,7724701
Brazil,R,132 min,"Drama, Sci-Fi",7.9,84,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,Terry Gilliam,"Jonathan Pryce, Kim Greist, Robert De Niro, Katherine Helmond",182216,9929135
All About My Mother,R,101 min,Drama,7.8,87,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",Pedro Almodóvar,"Cecilia Roth, Marisa Paredes, Candela Peña, Antonia San Juan",85710,8264530
Antichrist,Not Rated,108 min,"Drama, Horror",6.6,,"A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage, but nature takes its course and things go from bad to worse.",Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm",112625,397070
Pi,R,84 min,"Drama, Horror, Mystery",7.4,72,A paranoid mathematician searches for a key number that will unlock the universal patterns found in nature.,Darren Aronofsky,"Sean Gullette, Mark Margolis, Ben Shenkman, Pamela Hart",165930,3216970
Thank You for Smoking,R,92 min,"Comedy, Drama",7.6,71,"Satirical comedy follows the machinations of Big Tobacco's chief spokesman, Nick Naylor, who spins on behalf of cigarettes while trying to remain a role model for his twelve-year-old son.",Jason Reitman,"Aaron Eckhart, Cameron Bright, Maria Bello, Joan Lunden",210090,24792061
Amélie,R,122 min,"Comedy, Romance",8.3,69,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta",682860,33225499
The Life Aquatic with Steve Zissou,R,119 min,"Action, Adventure, Comedy",7.3,62,"With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.",Wes Anderson,"Bill Murray, Owen Wilson, Anjelica Huston, Cate Blanchett",173611,24006726
Rushmore,R,93 min,"Comedy, Drama",7.7,86,The extracurricular king of Rushmore Preparatory School is put on academic probation.,Wes Anderson,"Jason Schwartzman, Bill Murray, Olivia Williams, Seymour Cassel",163769,17105219
American Splendor,R,101 min,"Biography, Comedy, Drama",7.4,90,An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.,"Shari Springer Berman, Robert Pulcini","Paul Giamatti, Shari Springer Berman, Harvey Pekar, Chris Ambrose",46669,6003587
Delicatessen,R,99 min,"Comedy, Crime",7.6,66,Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,"Marc Caro, Jean-Pierre Jeunet","Marie-Laure Dougnac, Dominique Pinon, Pascal Benezech, Jean-Claude Dreyfus",78332,1794187
Auch Zwerge haben klein angefangen,Not Rated,96 min,"Comedy, Drama",6.9,,A group of dwarfs at a correctional facility erupt in anarchy.,Werner Herzog,"Helmut Döring, Paul Glauer, Gisela Hertwig, Hertel Minkner",5225,
Fear and Loathing in Las Vegas,R,118 min,"Adventure, Comedy, Drama",7.6,,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,Terry Gilliam,"Johnny Depp, Benicio Del Toro, Tobey Maguire, Michael Lee Gogin",251596,10680275
Super,R,96 min,"Action, Comedy, Drama",6.7,,"After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, but lacking in heroic skills.",James Gunn,"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon",73079,322157
Paprika,R,90 min,"Animation, Drama, Fantasy",7.7,81,"When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it.",Satoshi Kon,"Megumi Hayashibara, Tôru Emori, Katsunosuke Hori, Tôru Furuya",66553,881302
Away We Go,R,98 min,"Comedy, Drama, Romance",7,,"A couple who is expecting their first child travel around the U.S. in order to find a perfect place to start their family. Along the way, they have misadventures and find fresh connections with an assortment of relatives and old friends who just might help them discover ""home"" on their own terms for the first time.",Sam Mendes,"John Krasinski, Maya Rudolph, Allison Janney, Carmen Ejogo",50905,9451946
Secretary,R,107 min,"Comedy, Drama, Romance",7,63,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",Steven Shainberg,"James Spader, Maggie Gyllenhaal, Jeremy Davies, Lesley Ann Warren",80754,4059680
Whatever Works,PG-13,93 min,"Comedy, Romance",7.1,,"A middle-aged, misanthropic divorcée from New York City surprisingly enters a fulfilling, Pygmalion-type relationship with a much younger, unsophisticated Southern girl.",Woody Allen,"Evan Rachel Wood, Larry David, Henry Cavill, Adam Brooks",69385,5306447
