season,episode,release,title,rating,description
2,14,22 Sep. 2006,City of Walls and Secrets,8.7,"After getting a house to stay in, Aang and company are given a tour of Ba Sing Se. As they try to get in to tell the Earth King the news, they find that nothing is quite what is seems. Jet is in the city, too, and he is positive that Iroh and Zuko are Firebenders."
2,15,29 Sep. 2006,The Tales of Ba Sing Se,9.2,"A series of short stories covering some of the time spent by Katara, Toph, Iroh, Sokka, Aang, Zuko and Momo as they live in Ba Sing Se."
2,16,13 Oct. 2006,Appa's Lost Days,8.8,"In this special episode, we go back in time to the moment Appa was stolen, will find out where he has gone and who he has met along the way and more importantly where he is now!"
2,17,3 Nov. 2006,Lake Laogai,9.1,"The Avatar gang encounters Jet in Ba Sing Se and he helps them to discover the location of Appa. But they will end up discovering something else, a secret of the city."
2,18,17 Nov. 2006,The Earth King,8.6,The kids battle Long Feng and the Dai Li when they attempt to show the Earth King the vast conspiracy taking place in his city. Zuko becomes seriously ill and has feverish dreams as he faces a spiritual crisis.
2,19,1 Dec. 2006,The Guru,9.1,Aang receives guidance from Guru Pathik at the Eastern Air Temple; Sokka is reunited with his long-lost father; Princess Azula has something diabolical in store for her enemies; Uncle and Zuko run their own tea shop.
2,20,1 Dec. 2006,The Crossroads of Destiny,9.6,The heroes work together to stop Azula's destructive plans; Zuko finds companionship in an unlikely source and learns the time has come to make an imperative choice about his future.
3,1,21 Sep. 2007,The Awakening,8.7,"Weeks after the fall of the Earth Kingdom, Aang and his friends must infiltrate the Fire Nation. Katara meets her father for the first time in years. Zuko returns home, but is uneasy with his newfound reputation."
3,2,28 Sep. 2007,The Headband,8.4,"Posing as a regular kid, Aang goes to a Fire Nation school and sees what's missing from their lives. Zuko visits his uncle in prison."
3,3,5 Oct. 2007,The Painted Lady,8.0,"When Aang and his friends come across a fishing village being poisoned by a nearby factory, a local legend comes to life to help the townspeople."
3,4,12 Oct. 2007,Sokka's Master,8.8,"After deciding he's the least valuable member of the team, Sokka seeks an apprenticeship with a sword-master. The rest of the gang tries to adjust to being without him. The imprisoned Iroh may not be as beaten as he seems."
3,5,19 Oct. 2007,The Beach,8.5,"On a forced vacation, Zuko, Azula, Ty Lee and Mai try to blend in with normal teenagers and learn about themselves and one another. Aang and company are attacked by an ominous assassin."
3,6,26 Oct. 2007,The Avatar and the Fire Lord,9.5,Both Aang and Zuko must learn the history of how the war began. Zuko learns a secret about his great-grandfather's past.
3,7,2 Nov. 2007,The Runaway,8.2,"When Toph discovers a quick way to make cash, Katara disapproves, and the rift between them has disastrous consequences."
3,8,9 Nov. 2007,The Puppetmaster,9.1,Creepy things are afoot when the gang meets a mysterious old innkeeper with a secret.
3,9,16 Nov. 2007,Nightmares and Daydreams,7.8,"As the invasion approaches, Aang has recurring nightmares about being unprepared to face the Firelord. Zuko feels the perks and pressures of being the prince again."
3,10,30 Nov. 2007,"The Day of Black Sun, Part 1: The Invasion",9.1,Zuko makes a decision about his future. Aang reunites with many of his old friends in a full-scale invasion of the Fire Nation capitol to coincide with an eclipse which will remove the Fire Nation's powers.
3,11,30 Nov. 2007,"The Day of Black Sun, Part 2: The Eclipse",9.4,The invasion seems to be succeeding until Aang learns that their arrival was anticipated. Zuko confronts his father.
3,12,14 Jul. 2008,The Western Air Temple,8.9,"The gang hides out in the Western Air Temple. Zuko tries to convince the gang of his change in heart, but they are very hesitant. Combustion Man/Sparky-Sparky Boom Man attacks again."
3,13,15 Jul. 2008,The Firebending Masters,9.2,"Zuko has joined up with Aang's group and is now ready to teach Aang fire bending. Unfortunately, Zuko has found out that he has lost his ability and must now relearn it. Zuko and Aang travel to find the original source of fire bending so that they both can learn from The Firebending Masters."
3,14,16 Jul. 2008,The Boiling Rock: Part 1,8.7,Sokka and Zuko head to the Fire Nation's most heavily guarded prison -- the Boiling Rock -- in hopes to find and break-out the captured invasion force.
3,15,16 Jul. 2008,"The Boiling Rock, Part 2",9.2,"The escape is planned and the heroes attempt to break from the prison that very day. But problems come when Azula, Mai and Ty Lee arrive at the prison."
3,16,17 Jul. 2008,The Southern Raiders,8.9,"Trying to prove that she can trust him, Zuko helps Katara track down the man who killed her mother."
3,17,18 Jul. 2008,The Ember Island Players,8.6,"The gang, now hiding at Ember Island, watch a play about themselves and their adventures."
3,18,19 Jul. 2008,"Sozin's Comet, Part 1: The Phoenix King",9.1,Sozin's Comet is only three days away. Zuko tells the others what the Fire Lord plans on the day of the comet and the gang realizes that they must stop him before then. But Aang doubts that he can do what is expected of him.
3,19,19 Jul. 2008,"Sozin's Comet, Part 2: The Old Masters",9.5,Aang awakes on a mysterious island and confronts his past lives for advice on how to stop the Fire Lord without killing him. The rest of the group searches for Aang.
3,20,19 Jul. 2008,"Sozin's Comet, Part 3: Into the Inferno",9.8,"Zuko battles his sister with Katara's help for the right to be named Fire Lord. Elsewhere, Aang meets Ozai just as the comet arrives."
3,21,19 Jul. 2008,"Sozin's Comet, Part 4: Avatar Aang",9.8,"Aang's moment of truth arrives. Can he defeat Ozai, the Phoenix King? Will he be forced to take a human life? All the characters face their greatest challenges."
