season,episode,release,title,rating,description
2,7,20 Nov. 2010,Negro Y Azul,8.7,"Rumor is spreading that Jesse killed the man that ripped Skinny Pete off. Walt uses this to his advantage on expanding their territory. Meanwhile, Hank has been promoted to the El Paso office. But it's not all he hoped it would be."
2,8,27 Nov. 2010,Better Call Saul,9.2,"Badger is caught by the DEA. Walt and Jesse hire the best criminal lawyer in town, Saul Goodman."
2,9,27 Nov. 2010,4 Days Out,9.1,Walt and Jesse become stranded out in the middle of the desert after cooking more crystal.
2,10,4 Dec. 2010,Over,8.6,Walt's cancer has greatly improved. Time to celebrate. Meanwhile Jesse tries to meet his new girlfriend's father.
2,11,4 Dec. 2010,Mandala,8.9,Walt and Jesse's little empire begins to crumble. Saul tries to set them up with a mysterious distributor.
2,12,11 Dec. 2010,Phoenix,9.3,"Walt and Skyler have a baby girl. Now that Jesse is hooked on heroin, Walt refuses to give him his money until he gets clean. Meanwhile, as an excuse for his money, Walt decides to donate the money to himself through his son's new website."
2,13,11 Dec. 2010,ABQ,9.3,"Walt's lies have pushed Skyler to her limit. She leaves with the kids. Meanwhile, Jesse blames himself for Jane's death and goes into rehab."
3,1,11 Oct. 2011,No Más,8.6,Skyler goes through with her plans to divorce Walt. Jesse finishes rehab.
3,2,11 Oct. 2011,Caballo sin Nombre,8.7,"Walter, Jr. is having a rough time accepting his parents' separation. Jesse buys his old house from his parents. Meanwhile, two mysterious men have come into town looking for Walt."
3,3,11 Oct. 2011,I.F.T.,8.5,"Walt has moved back into the house without Skyler's consent. Now she can't get him out. Meanwhile, Jesse continues to cope with Jane's death."
3,4,18 Oct. 2011,Green Light,8.3,"Walt's world crumbles even more after finding out that Skyler is cheating on him. Jesse tries to set up a meeting with Gus to try and sell his own version of the blue meth. Meanwhile, Hank is growing obsessed with finding Heisenberg."
3,5,18 Oct. 2011,Más,8.7,Gus tries to get Walt back in the business by offering him three million dollars and a brand new lab. Jesse is furious that Walt received half of the money for his blue meth. Hank tries to track down the RV meth lab.
3,6,25 Oct. 2011,Sunset,9.3,"Heisenberg's organized and practical assistant Gale greatly aids his work in Gus's lab. Hank finally tracks the RV back to Jesse, as a concerned Walt finds any way to erase the evidence."
3,7,25 Oct. 2011,One Minute,9.6,"Jesse ends up in the hospital after getting beaten up by Hank. Now he is threatening to press charges against the DEA. To stop him, Walt decides to bring Jesse on as his partner, once again."
3,8,1 Nov. 2011,I See You,8.8,Hank ends up in the hospital after being attacked by Tuco's cousins. Walt spends too much time by his family's side when he should be cooking meth.
3,9,1 Nov. 2011,Kafkaesque,8.5,"Skyler hatches a plan as Hank's hospital bills stack up. Meanwhile, Walt and Gus come to a better understanding as Jesse, looking for more independence, pursues a new opportunity."
3,10,8 Nov. 2011,Fly,7.8,There is a fly loose in the lab. Walt and Jesse must do whatever they can to kill it before it contaminates the meth.
3,11,8 Nov. 2011,Abiquiu,8.5,"Skyler gets more involved in Walt's business, much to his chagrin, as Hank struggles with his recovery. Meanwhile, Jesse takes an active role in his new enterprise, leading him to a startling discovery."
3,12,15 Nov. 2011,Half Measures,9.5,"Against Walt's advice, Jesse lashes out. Fearing for Jesse's safety, Walt takes drastic action to intervene. Meanwhile a tragic event leads to a shocking confrontation."
3,13,15 Nov. 2011,Full Measure,9.7,Jesse has disappeared and Walt is in big trouble with Gus. So Gus rehires Gale to learn from Walt's cooking so that they can dispose of Walt once and for all.
4,1,2 Nov. 2012,Box Cutter,9.2,"Walt and Jesse are held captive for Gus, after Gale's death. Meanwhile, Skyler tries to find out what happened to Walt."
4,2,2 Nov. 2012,Thirty-Eight Snub,8.3,"Walt attempts to form a new alliance as he plans his next move. Meanwhile Skyler pushes Walt towards a business opportunity, in hopes of protecting the family."
4,3,2 Nov. 2012,Open House,8.1,"While Walt worries about Gus's interference and Jesse's increasingly fragile state of mind, Skyler steps up the pressure to get what she wants."
4,4,9 Nov. 2012,Bullet Points,8.7,"As Skyler concocts an elaborate story to explain the Whites' finances, a worried Walt discovers that Hank has begun a new investigation."
4,5,9 Nov. 2012,Shotgun,8.7,"Jesse rides shotgun with Mike on a perilous run of pickups, prompting Walt to worry that his partner is about to be killed."
4,6,9 Nov. 2012,Cornered,8.5,"Skyler adopts an aloof approach when she suspects that Walt isn't telling her the truth. Meanwhile, Jesse proves his worth to Mike and Gus."
4,7,16 Nov. 2012,Problem Dog,8.9,"Skyler looks to continue her family's trend of appearing poverty-stricken by forcing Walt to return the car he bought. A concerned Walt chauffeurs Hank to Los Pollos Hermanos, and the articulate yet immobile DEA agent collects prints."
4,8,16 Nov. 2012,Hermanos,9.3,"When Hank produces evidence that Gus is Albuquerque's crystal meth kingpin, Walt worries that he and Jesse will be killed to protect their boss."
4,9,16 Nov. 2012,Bug,8.9,"While Walt tries to subvert Hank's probe into the Albuquerque meth scene, a deadly warning forces Gus to consider a deal with the cartel."
4,10,23 Nov. 2012,Salud,9.6,"Jesse, Gus, and Mike fly down to Mexico, and Jesse cooks the blue meth for the cartel. Walt misses his son's 16th birthday after his fight with Jesse."
4,11,23 Nov. 2012,Crawl Space,9.7,"Hank asks Walt to drive him to the laundry where the meth lab is hidden. Ted still won't pay the IRS so Skyler asks Saul for help, and Saul sends in his A-Team. Gus and Jesse return from Mexico, and Walt fears he is in trouble with Gus."
4,12,30 Nov. 2012,End Times,9.5,"The DEA is putting Hank and his family in protective custody; however, Walt refuses and awaits his fate in his house. Meanwhile, Brock has fallen terribly ill and Jesse suspects Walt may be behind it."
4,13,30 Nov. 2012,Face Off,9.9,"Jesse is brought to the FBI for questioning on his knowledge of ricin. In a last effort to kill Gus, Walt must ask for help from an old enemy."
5,1,6 Dec. 2013,Live Free or Die,9.3,"Now that Gus is dead, Walt, Jesse, and Mike work to cover their tracks. Skyler panics when Ted Beneke wakes up."
5,2,6 Dec. 2013,Madrigal,8.9,Walt and Jesse seek out an unlikely partner for a new business venture. The DEA follows up new leads in its investigation.
5,3,13 Dec. 2013,Hazard Pay,8.9,The guys put a business plan into action; Walt confesses to Marie.
5,4,13 Dec. 2013,Fifty-One,8.9,It's Walt's 51st birthday. His return to the drug business causes Skyler to go into depression.
5,5,13 Dec. 2013,Dead Freight,9.7,"Walter White's domestic life continues to deteriorate; at the same time, his growing business venture aims to steal a train car chock full of methylamine."
5,6,20 Dec. 2013,Buyout,9.1,"In the aftermath of the train heist, Jesse and Mike decide to quit the business, leaving Walt to handle things on his own. Mike is being followed by the DEA."
5,7,20 Dec. 2013,Say My Name,9.6,Mike and Jesse are out. Now Walt has to handle things on his own. Hank finally finds a rat in Mike's gang.
5,8,20 Dec. 2013,Gliding Over All,9.6,"Walt expands his business overseas, and the money is pouring in."
5,9,24 Oct. 2014,Blood Money,9.5,Walt is out of the meth business and trying to move on with his life. Jesse tries to get rid of his money. Hank now knows that Walt is the famous Heisenberg.
5,10,24 Oct. 2014,Buried,9.2,"Hank is determined to bring down Walt. Walt scrambles to hide evidence before Hank gets to it, and Skyler tries to stop Hank and Marie from taking away the kids."
5,11,31 Oct. 2014,Confessions,9.6,"Walt makes his next move against Hank, putting Hank in a tough position. Hank confronts Jesse and attempts to turn him against Walt, and Jesse decides it's time to move on. Meanwhile, Todd has taken over the business."
5,12,31 Oct. 2014,Rabid Dog,9.2,Walt discovers Jesse broke into his house and attempted to burn it down. Walt wants to protect his family so he moves them into a hotel for a few nights. Jesse makes plans to take down Walt.
5,13,7 Nov. 2014,To'hajiilee,9.8,Jesse and Hank come up with an idea to take Walt down. Walt hires Todd's uncle to kill Jesse.
5,14,7 Nov. 2014,Ozymandias,10.0,"Walt goes on the run. Jesse is taken hostage. Marie convinces Skyler to tell Walter, Jr. the truth."
5,15,7 Nov. 2014,Granite State,9.7,Walt struggles as he adapts to aspects of his new identity. Jesse plans an escape against Jack and his crew.
5,16,8 Nov. 2014,Felina,9.9,"Walter White makes one last attempt to secure his family's future, while also visiting some old enemies, during his final return to Albuquerque."
