season,episode,release,title,rating,description
8,21,19 Nov. 1997,The Old Man and the Lisa,7.9,Burns loses his fortune and recruits Lisa to help him get it back.
8,22,20 Nov. 1997,In Marge We Trust,8.1,Marge becomes a church counselor; Homer discovers his face on a Japanese detergent logo.
8,23,21 Nov. 1997,Homer's Enemy,9.3,Industrious Frank Grimes starts working at the plant and becomes irritated by Homer's laziness; Bart buys a run-down factory for a dollar.
8,24,25 Nov. 1997,The Simpsons Spin-Off Showcase,7.2,"Troy McClure presents three spinoffs: ""Chief Wiggins, P.I.,"" ""The Love-Matic Grandpa,"" and ""The Simpson Family Smile-Time Variety Hour."""
8,25,26 Nov. 1997,The Secret War of Lisa Simpson,7.9,"After a prank destroys half the town, Bart is shipped away to military school. Lisa, seeking a challenge, decides to enroll with him, but is faced with discrimination as the school's only girl cadet."
9,1,7 Oct. 1998,The City of New York vs. Homer Simpson,9.1,"Homer must travel to New York to get his car back, which is illegally parked at World Trade Center Plaza."
9,2,8 Oct. 1998,The Principal and the Pauper,6.9,"At his 20th anniversary celebration as school principal, Principal Skinner is discovered to be an imposter of the real Seymour Skinner."
9,3,9 Oct. 1998,Lisa's Sax,8.1,"Homer recounts the story of Bart's first day of school, which corresponds with the story of how Lisa got her saxophone."
9,4,12 Oct. 1998,Treehouse of Horror VIII,8.2,Homer battles mutants after Springfield is annihilated by a neutron bomb; Bart has his DNA mixed with a fly; Marge is revealed to be a witch in colonial Springfield.
9,5,13 Oct. 1998,The Cartridge Family,8.2,"After a massive soccer riot, Homer purchases a gun to protect the family."
9,6,14 Oct. 1998,Bart Star,7.7,"A damning report on childhood obesity in Springfield leads to the formation of a pee-wee football team. After belittling Ned Flanders, Homer ends up coaching the team, but his favoring of Bart makes him unpopular."
9,7,15 Oct. 1998,The Two Mrs. Nahasapeemapetilons,7.7,"Apu receives a letter from his mother stating that it's time for him fulfilled his arranged marriage obligation, he pretends Marge is his wife."
9,8,19 Oct. 1998,Lisa the Skeptic,8.1,Townspeople believe Lisa has unearthed the fossiled remains of a angel.
9,9,19 Oct. 1998,Realty Bites,7.6,Marge becomes a real-estate agent.
9,10,20 Oct. 1998,Miracle on Evergreen Terrace,7.6,"When Bart accidentally burns down the family's Christmas tree and gifts, he claims that a robber stole everything. As a result, the town gets them a new tree and pitches in to raise funds."
9,11,16 Jan. 2000,"All Singing, All Dancing",5.0,"Homer is disappointed when the western he rented turns out to be a musical, so the family reminds him of the musical moments in the show's history."
9,12,22 Oct. 1998,Bart Carny,7.7,"Bart and Homer befriend two carnies and invite them to stay with them, but the carnies soon swindle the Simpsons out of their house."
9,13,23 Oct. 1998,The Joy of Sect,8.3,An evil cult called the Movementarians brainwashes the citizens of Springfield and it's up to Marge to get them back.
9,14,1 Nov. 1999,Das Bus,8.2,"While the kids become stranded on a desert island, Homer attempts to cash in on the Internet."
9,15,2 Oct. 1999,The Last Temptation of Krust,7.5,"After a disastrous performance, Krusty changes his image and becomes an edgy stand-up."
9,16,26 Oct. 1998,Dumbbell Indemnity,7.7,"Homer and Moe attempt insurance fraud so that Moe can support his new girlfriend. When Homer ends up in jail, Moe has to decide whether or not to come forward."
9,17,31 Dec. 1998,Lisa the Simpson,8.0,"Lisa fears she is losing her intelligence when she learns about the fabled Simpson gene. Meanwhile, Jasper freezes himself in the Kwik-E-Mart freezer."
9,18,15 May 2000,This Little Wiggy,7.9,"Bart is reluctant to hang out with Ralph Wiggum, until he gains access to Chief Wiggum's master key to the city."
9,19,24 May 1999,Simpson Tide,8.2,Homer causes an international incident after he joins the Naval reserves.
9,20,27 Oct. 1998,The Trouble with Trillions,7.8,"Homer is forced to spy for the IRS after an audit. But when he is asked to retrieve a trillion dollar bill from Mr. Burns, he switches sides and the two flee to Cuba for refuge."
9,21,28 Oct. 1998,Girly Edition,7.9,"Bart and Lisa become locked in competition when they anchor a children's news program. Meanwhile, Homer adopts a helper monkey."
9,22,6 Oct. 1998,Trash of the Titans,8.4,Homer becomes the sanitation commissioner for Springfield. His ineptitude pollutes the town and leads to a drastic solution.
9,23,29 Oct. 1998,King of the Hill,8.2,"After humiliating Bart at a church picnic, Homer resolves to get in shape. Soon, he is contacted by an energy bar company that wants him to climb a mountain as a promotion."
9,24,30 Oct. 1998,Lost Our Lisa,7.8,Lisa gets lost after she tries to take a bus to a museum.
9,25,2 Nov. 1998,Natural Born Kissers,8.0,Homer and Marge's attempt to spice up their marriage leads to the couple being chased naked through Springfield.
10,1,16 Nov. 1999,Lard of the Dance,7.6,Homer and Bart try to start their own grease business; Lisa organizes a school dance.
10,2,15 Nov. 1999,The Wizard of Evergreen Terrace,8.2,Homer's midlife crisis leads to a disastrous attempt at being an inventor.
10,3,17 Nov. 1999,Bart the Mother,7.6,"When Bart accidentally kills a mother bird, he tries to make amends by raising the eggs."
10,4,27 Dec. 1999,Treehouse of Horror IX,8.0,Homer receives an evil hair transplant; Bart and Lisa get trapped in an Itchy and Scratchy cartoon; Maggie is revealed to be an alien.
10,5,18 Nov. 1999,When You Dish Upon a Star,7.3,Homer becomes a Hollywood insider when he befriends Alec Baldwin and Kim Basinger.
10,6,19 Nov. 1999,D'oh-in' in the Wind,7.6,Homer becomes a hippie after a revelation about his middle name.
10,7,13 Dec. 1999,Lisa Gets an 'A',8.1,"When Lisa cheats on a test, she has a moral crisis when her perfect score qualifies the school for grant money; Homer adopts a lobster as a pet."
10,8,22 Nov. 1999,Homer Simpson in: 'Kidney Trouble',7.3,Homer gets cold feet before a transplant operation which could save Grampa's life.
10,9,12 Nov. 1999,Mayored to the Mob,8.2,Homer deals with corruption when he becomes Mayor Quimby's bodyguard.
10,10,24 Nov. 1999,Viva Ned Flanders,7.9,"When Homer takes Ned to Las Vegas in an attempt to get him to loosen up, the two end up drunkenly marrying a pair of cocktail waitresses."
10,11,25 Nov. 1999,Wild Barts Can't Be Broken,7.8,The children of Springfield revolt after a curfew is enforced.
10,12,26 Nov. 1999,"Sunday, Cruddy Sunday",7.0,"Homer and his friends head to the Super Bowl, but are forced to sneak in when they discover their tickets are counterfeit."
10,13,29 Nov. 1999,Homer to the Max,7.8,Homer changes his name when a dimwitted TV character named Homer Simpson becomes an overnight sensation.
10,14,30 Nov. 1999,I'm with Cupid,7.3,The husbands of Springfield plot revenge after Apu outshines them on Valentine's Day.
10,15,1 Dec. 1999,Marge Simpson in 'Screaming Yellow Honkers',7.3,Marge's new SUV gives her a potent case of road rage.
10,16,2 Dec. 1999,Make Room for Lisa,7.5,"Lisa feels that her relationship with her father will never be close, and she develops stress-induced stomach pains; Marge inadvertently knocks out Milhouse."
10,17,3 Dec. 1999,Maximum Homerdrive,7.7,"Homer completes a cross country delivery for a trucker who dies before completing it, and takes Bart along for the ride. Meanwhile, Marge and Lisa experience problems with a novelty doorbell they purchase."
10,18,6 Dec. 1999,Simpsons Bible Stories,7.4,Three famous religious stories are retold Simpsons style as the family nods off at church.
10,19,7 Dec. 1999,Mom and Pop Art,7.6,Homer becomes the talk of the Springfield art community when a failed barbecue pit he worked on is mistaken for an art project.
10,20,8 Dec. 1999,The Old Man and the 'C' Student,7.3,Bart is punished with community service at the Retirement Castle after he ruins Springfield's chances of hosting the Olympics.
10,21,9 Dec. 1999,Monty Can't Buy Me Love,7.1,"When a wealthy man moves to Springfield, Mr. Burns begins to feel that he is losing his grasp on the citizens and decides to enlist the help of Homer."
10,22,12 Dec. 1999,They Saved Lisa's Brain,7.4,"Lisa is invited to join the Springfield chapter of MENSA and after Mayor Quimby flees, the group ends up running the city. Meanwhile, Homer poses for a series of erotic photos."
10,23,14 Dec. 1999,Thirty Minutes Over Tokyo,8.0,The Simpsons must perform on a Japanese game show after Homer loses their money on a vacation.
11,1,4 Sep. 2000,Beyond Blunderdome,7.3,"Convinced he's the only man with guts to tell him the truth, Mel Gibson insists Homer accompanies him in Hollywood to help fix his newest film project."
11,2,11 Sep. 2000,Brother's Little Helper,7.5,"Bart is put on medication to control his behavior, but the pills cause him to become paranoid and insane."
11,3,18 Sep. 2000,Guess Who's Coming to Criticize Dinner?,7.5,Homer's negative reviews as a food critic puts his life in danger. Fortunately he has Lisa fighting for him.
11,4,30 Oct. 2000,Treehouse of Horror X,7.7,The Simpsons attempt to cover up their accidental murder of Ned Flanders. Bart and Lisa acquire super powers. An electronic apocalypse threatens Springfield.
11,5,25 Sep. 2000,E-I-E-I-(Annoyed Grunt),7.8,Homer cowards out of a pistol-duel and hides out with the rest of the family on a country farm.
11,6,2 Oct. 2000,"Hello Gutter, Hello Fadder",7.3,Homer becomes a minor celebrity around Springfield after bowling a perfect game.
11,7,9 Oct. 2000,Eight Misbehavin',7.0,Apu struggles with fatherhood after Manjula gives birth to octuplets.
11,8,16 Oct. 2000,"Take My Wife, Sleaze",7.1,"Homer's attempt at creating a motorcycle gang attracts a real gang, who kidnap Marge."
11,9,18 Dec. 2000,Grift of the Magi,7.3,A toy company purchases Springfield Elementary and uses the student body as a focus group for their new Christmas toy Funzo.
11,10,23 Oct. 2000,Little Big Mom,7.3,Lisa finds out how rough Marge has it when her mom is in traction and she becomes the woman of the house. Homer and Bart's antics get her so worked up she conspires to teach them a lesson.
11,11,6 Nov. 2000,Faith Off,6.8,Bart is led to believe he has special healing powers after a tent revival.
11,12,13 Nov. 2000,The Mansion Family,7.3,Homer receives responsibility for Mr. Burns' mansion when he is on leave and takes Burns' yacht to international waters to have a party.
11,13,20 Nov. 2000,Saddlesore Galactica,6.5,The Simpsons get an abused horse and make him a contender in horse racing. Homer finds out a secret conspiracy about jockeys. Lisa tries to reach President Clinton when the results of a school band talent competition seem tainted.
11,14,27 Nov. 2000,"Alone Again, Natura-Diddly",7.7,Ned deals with his grief after Maude's untimely death.
11,15,4 Dec. 2000,Missionary: Impossible,7.3,"When Homer is wanted dead for reneging on a 10,000 dollar pledge to PBS, Reverend Lovejoy sets him up for missionary work in the South Pacific until the heat dies down."
11,16,11 Dec. 2000,Pygmoelian,7.3,"Plastic surgery not only transforms Moe the Bartender from ugly to hunky, it helps gets him a job on a hit daytime drama."
11,17,8 Jan. 2001,Bart to the Future,7.0,Bart gets a glimpse of the future while the family is on vacation at an Indian casino.
11,18,15 Jan. 2001,Days of Wine and D'oh'ses,7.3,Homer doesn't like it when Barney quits drinking; Bart and Lisa get into trouble when they enter a photo contest for the new phone book cover.
11,19,29 Jan. 2001,Kill the Alligator and Run,6.5,"Fearing he only has three years to live, Homer moves the family to Florida so he can live a better life, until they become wanted criminals after injuring a famous alligator."
11,20,22 Jan. 2001,Last Tap Dance in Springfield,7.1,Lisa has difficulties learning to tap dance; Bart and Milhouse ditch summer camp to spend a week living in the mall.
11,21,5 Feb. 2001,"It's a Mad, Mad, Mad, Mad Marge",7.1,"Everybody loves the new Simpsons' house guest Becky. Except Marge, who thinks Becky wants to kill her."
11,22,12 Feb. 2001,Behind the Laughter,7.9,"Fans are invited to take a behind-the-scenes look at ""The Simpsons,"" revisiting some of the most memorable experiences the family has been through."
12,1,29 Oct. 2001,Treehouse of Horror XI,7.6,Homer must do one good deed to get into Heaven; Bart and Lisa encounter a witch in a gingerbread house; Super-intelligent dolphins strike back at humanity.
12,2,24 Sep. 2001,A Tale of Two Springfields,7.5,Springfield is split in two when Homer revolts because his area code is changed; the new town walls itself off from the neighbors.
12,3,1 Oct. 2001,Insane Clown Poppy,7.0,"After he learns he has a daughter, Krusty turns to Homer for parenting advice."
12,4,8 Oct. 2001,Lisa the Treehugger,7.1,Lisa's crush on an environmental activist inspires her to live in a tree threatened by loggers.
12,5,15 Oct. 2001,Homer vs. Dignity,7.0,"Desperate for money, Homer accepts payment from Mr. Burns in exchange for humiliating himself."
12,6,5 Nov. 2001,The Computer Wore Menace Shoes,7.7,"Homer's gossip website becomes a huge hit, but when his information runs out he resorts to making up news."
12,7,12 Nov. 2001,The Great Money Caper,7.3,The whole town of Springfield conspires to teach Homer and Bart a lesson after the pair begin running confidence scams.
12,8,17 Dec. 2001,Skinner's Sense of Snow,7.9,"A freak blizzard traps the students of Springfield Elementary inside their school. Their lives at stake, they are at the mercy of the rescue efforts of a woozy Homer and Ned."
12,9,22 Oct. 2001,Homr,8.1,"An X-ray reveals a crayon lodged in Homer's brain. After the crayon is removed, Homer experiences a sudden surge in intelligence, making him closer to Lisa and isolated from his friends."
12,10,26 Nov. 2001,Pokey Mom,7.2,"Marge befriends a convict with an artistic streak. Meanwhile, Homer battles the chiropractic industry after he creates a miracle back pain cure."
12,11,3 Dec. 2001,Worst Episode Ever,7.4,Bart and Milhouse are left in charge of the comic book store after Comic Book Guy is hospitalized.
12,12,10 Dec. 2001,Tennis the Menace,6.8,"Homer installs a tennis court in the backyard, but his lousy playing creates a rift in the family."
12,13,19 Nov. 2001,Day of the Jackanapes,7.1,Sideshow Bob returns with a plan to brainwash Bart and kill Krusty.
12,14,11 Feb. 2002,New Kids on the Blecch,7.2,"A music producer offers Bart and his friends a chance to participate in an up-and-coming boyband, but the boys are not up to it after making a discovery."
12,15,7 Jan. 2002,Hungry Hungry Homer,7.5,Homer is forced to go on a hunger strike by the Springfield Isotopes after uncovering a secret plan to have the baseball team moved to New Mexico.
12,16,14 Jan. 2002,Bye Bye Nerdy,6.6,"Problems with a bully lead Lisa to examine just what makes bullies aggressive. Meanwhile, Homer gets into the baby-proofing business."
12,17,21 Jan. 2002,Simpson Safari,6.8,The Simpsons win a trip to Africa after Homer finds a golden animal cracker from the 60's in the loft.
12,18,28 Jan. 2002,Trilogy of Error,8.6,"Homer's rush to the hospital to re-attach his severed thumb, Lisa's rush to school to win the science fair, and Bart's run-in with an illegal fireworks scheme interconnect from their point of view."
12,19,4 Feb. 2002,I'm Goin' to Praiseland,7.2,"With Homer's help, Flanders tries to establish a Christian theme park based on drawings in Maude's sketch book."
12,20,11 Feb. 2002,Children of a Lesser Clod,7.2,"After a debilitating injury forces him to stay indoors, Homer begins a daycare center."
12,21,18 Feb. 2002,Simpsons Tall Tales,7.0,"A hobo tells the Simpsons tall tales on a train ride to Delaware. In the first story, Homer is outcast from society as Paul Bunyan. Then, Lisa travels the country planting trees as Connie Appleseed. Finally, Bart and Nelson raft down the Mississippi as Tom Sawyer and Huck Finn."
13,1,1 Mar. 2003,Treehouse of Horror XII,7.5,A gypsy puts a curse on Homer; The Simpsons' new automated house malfunctions and tries to kill Homer; Bart and Lisa attend a school for wizards.
13,2,8 Feb. 2003,The Parent Rap,7.0,"After Bart takes a joyride in a police car, a judge orders him to be tethered to Homer at all times."
13,3,15 Feb. 2003,Homer the Moe,7.1,Homer and his friends are forced to drink in the Simpsons' garage after Moe the Bartender renovates his shady bar into a hipster hangout.
13,4,22 Feb. 2003,A Hunka Hunka Burns in Love,7.0,Mr. Burns falls in love with a younger woman and recruits Homer to help him impress her.
13,5,8 Mar. 2003,The Blunder Years,7.6,A hypnotist uncovers a traumatic experience from Homer's childhood.
13,6,15 Mar. 2003,She of Little Faith,7.1,"Homer and Bart collaborate on a model rocket which destroys The First Church of Springfield. To raise money for repairs, the church sells advertising space, outraging Lisa - who becomes a Buddhist, with the help of guest star Richard Gere."
13,7,22 Mar. 2003,Brawl in the Family,6.8,"A social services officer brings unity to the Simpson family, but their newfound happiness is threatened when the cocktail waitress Homer married in Vegas shows up at their door."
13,8,29 Mar. 2003,Sweets and Sour Marge,6.9,Marge rallies for a ban on sugar after Springfield is declared America's fattest city.
13,9,5 Apr. 2003,Jaws Wired Shut,7.2,Marge can't deal with the quiet after Homer has his jaws wired shut.
13,10,12 Apr. 2003,Half-Decent Proposal,7.3,Marge's high school sweetheart Artie Ziff returns and offers Homer a million dollars to spend a weekend with Marge.
13,11,19 Apr. 2003,The Bart Wants What It Wants,7.0,"Bart breaks up with his new girlfriend Greta, but gets jealous when she begins dating Milhouse."
13,12,26 Apr. 2003,The Lastest Gun in the West,6.4,Bart meets a retired cowboy movie star and convinces him to make a comeback on The Krusty the Clown Show.
13,13,3 May 2003,The Old Man and the Key,6.4,Abe gets his driver's license back to impress a new woman at the retirement home.
13,14,10 May 2003,Tales from the Public Domain,7.2,"Homer reads three stories from an overdue library book; with Homer as Odysseus trying to get home to Ithaca, Lisa as Joan of Arc leading the French to Victory and Bart as Hamlet avenging his father's death."
13,15,17 May 2003,Blame It on Lisa,7.0,"Lisa sponsors an orphan in Brazil, and when he goes missing she convinces the family to go to Brazil to find him. While there, Homer is kidnapped."
13,16,24 May 2003,Weekend at Burnsie's,7.7,"After a traumatizing eye injury, Homer becomes a habitual user of medical marijuana."
13,17,31 May 2003,Gump Roast,5.4,"In this clip show, the citizens of Springfield honor Homer Simpsons with a Roast, but the festivities take a turn for the worst when aliens crash it."
13,18,7 Jun. 2003,I Am Furious Yellow,7.7,"Bart's comic about Homer becomes a hit on-line, prompting Homer to attempt to control his anger."
13,19,14 Jun. 2003,The Sweetest Apu,6.7,Apu's marriage is on the rocks after Manjula finds out he cheated on her.
13,20,21 Jun. 2003,Little Girl in the Big Ten,7.1,Lisa pretends to be a college student when she befriends two college girls; Bart is forced to live in a plastic bubble after being bit by a mosquito.
13,21,28 Jun. 2003,The Frying Game,6.9,Homer and Marge find themselves on death row after they are framed for murder.
13,22,5 Jul. 2003,Papa's Got a Brand New Badge,7.8,Homer becomes chief of police after a scandal forces Wiggum out.
14,1,21 Feb. 2004,Treehouse of Horror XIII,7.6,Homer clones himself with a magic hammock; Zombie cowboys come back from the dead after Springfield bans guns; The Simpsons family take a vacation on an island where Dr. Hibbert can turn people into animals.
14,2,6 Mar. 2004,How I Spent My Strummer Vacation,7.3,"When Homer is secretly videotaped complaining about his family in a taxi, they send him off to a rock and roll fantasy camp so he can try to live his dream."
14,3,10 Jan. 2004,Bart vs. Lisa vs. 3rd Grade,7.1,"Bart and Lisa are respectively held back and moved forward one grade, putting them in the same class."
14,4,17 Jan. 2004,Large Marge,7.0,Marge accidentally gets breast implants.
14,5,24 Jan. 2004,Helter Shelter,6.7,The Simpsons family must participate in a reality television show in which they try to live in the same way that the families did in the 1800s.
14,6,31 Jan. 2004,The Great Louse Detective,7.2,Homer has to use Sideshow Bob in order to track down a potential assassin.
14,7,7 Feb. 2004,Special Edna,7.0,"After Skinner once again has let Mrs. Krabappel down, Bart takes her to the cinema. To cheer her up, Bart nominates Krabappel for the 'teacher of the year' award. The nominations is accepted, and soon the Simpsons family and Mrs. Krabappel are going to the award ceremony in Orlando, Florida, where Skinner tries to get back Krabappel by asking her to marry him."
14,8,14 Feb. 2004,The Dad Who Knew Too Little,7.2,Homer hires a private detective to learn more about Lisa.
14,9,28 Feb. 2004,The Strong Arms of the Ma,6.8,Marge takes up body-building to boost her self-esteem after being mugged at the Kwik-E-Mart.
14,10,13 Jan. 2004,Pray Anything,6.7,"Homer turns to religion to help him get what he wants, and is soon awarded the church in an injury settlement. Homer then turns the church into his personal party pad, and Reverend Lovejoy leaves Springfield to wallow in its hedonism."
14,11,6 Mar. 2004,Barting Over,6.6,"After finding out Homer squandered his money from a baby commercial, Bart moves out into a loft, and meets skateboarding legend Tony Hawk."
14,12,20 Mar. 2004,I'm Spelling as Fast as I Can,7.2,"Lisa participates in the Spellympics, but Homer is busy traveling cross-country as Krusty Burger test-markets a new sandwich. Lisa is confident that she will win, until she learns that the contest is rigged against her."
14,13,27 Mar. 2004,A Star Is Born Again,6.9,"Ned Flanders starts dating a famous movie star, but has difficulties with the tabloids following them everywhere."
14,14,17 Apr. 2004,Mr. Spritz Goes to Washington,6.8,The family makes Krusty run for Congress because of air traffic being redirected to fly dangerously close to their house.
14,15,8 May 2004,C.E.D'oh,7.1,Homer takes over the power plant after tricking Mr. Burns into making him the official owner of the power plant.
14,16,3 Apr. 2004,'Scuse Me While I Miss the Sky,7.1,Lisa becomes interested in astronomy and starts fighting the light pollution which is preventing her from being able to enjoy her new hobby.
14,17,24 Apr. 2004,Three Gays of the Condo,7.1,"When Homer finds an old note revealing Marge only married him because she was pregnant with Bart, he moves into a condo with two gay guys."
14,18,22 May 2004,"Dude, Where's My Ranch?",6.9,"Homer writes a Christmas carol called ""Everybody Hates Ned Flanders,"" which soon becomes so popular that the family decides to leave town for a while."
14,19,10 Apr. 2004,Old Yeller-Belly,6.7,"Homer throws out Santa's Little Helper for not saving him from a fire, but soon the dog becomes Duff's new mascot."
14,20,15 May 2004,"Brake My Wife, Please",6.7,"Because of Homer losing his driver's license, Marge has to drive everyone everywhere, which is so stressful for her that she accidentally runs over Homer leading to the two seeing a marriage counselor."
14,21,17 Apr. 2004,The Bart of War,6.6,"Bart and Milhouse are forced into community service after destroying Flanders' memorial and join separate community groups, pitting themselves against each other."
14,22,29 May 2004,Moe Baby Blues,7.7,"After saving Maggie's life, Moe develops a special bond with her, much to Homer's dismay."
15,1,30 Oct. 2004,Treehouse of Horror XIV,7.5,"First, Homer kills the Grim Reaper and takes his place in Reaper Madness. Then, Professor Frink's father is revived, only to kill people and steal their organs in Frinkenstein. Finally, Bart and Milhouse get a stop watch that can stop time in Stop the World, I Want To Goof Off."
15,2,25 Sep. 2004,My Mother the Carjacker,7.3,"Homer's mother returns to Springfield, and the city pardons her from the charges against her. Mr Burns is furious about this and makes a plan to get Mona Simpson in prison."
15,3,2 Oct. 2004,The President Wore Pearls,6.9,Lisa feuds with Principal Skinner after being elected school president.
15,4,9 Oct. 2004,The Regina Monologues,7.0,Prime minister Tony Blair welcomes the Simpsons to England where they run into author J.K. Rowling and actor Ian McKellen.
15,5,16 Oct. 2004,The Fat and the Furriest,7.1,"At the dump Homer is videotaped while being attacked by a bear. The town regards him a coward, so Homer decides to strike back at the bear."
15,6,23 Oct. 2004,"Today, I Am a Clown",6.4,Krusty decides to do what he never did when he was thirteen years old - have a Bar Mitzvah.
15,7,18 Dec. 2004,'Tis the Fifteenth Season,7.0,"After spending all his money on an expensive gift for himself, and the family thinking he should be less of an egoist, Homer decides to change his ways."
15,8,6 Nov. 2004,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",6.6,"A concert for babies ends in a riot, so the childless adults of Springfield gather to make the town less child-friendly."
15,9,13 Nov. 2004,"I, (Annoyed Grunt)-Bot",7.2,Homer pretends to be a robot and competes in Robot Wars to win Bart's affection; Lisa has cat trouble.
15,10,20 Nov. 2004,Diatribe of a Mad Housewife,7.2,"Marge is inspired to write a novel, but the storyline of the book (a fat, mean husband, and a handsome, sweet neighbor) makes Homer jealous."
15,11,27 Nov. 2004,Margical History Tour,7.1,"Marge tells Lisa, Bart and Millhouse three history stories because the library doesn't have any."
15,12,4 Dec. 2004,Milhouse Doesn't Live Here Anymore,7.1,"Milhouse moves to Capital City, and therefore Lisa and Bart become best friends."
15,13,11 Dec. 2004,Smart & Smarter,7.1,"When Maggie is revealed to have an IQ of 167, Lisa is no longer the genius of the family, causing a rivalry between the sisters."
15,14,8 Jan. 2005,The Ziff Who Came to Dinner,6.7,Artie Ziff is discovered hiding out in the Simpsons' attic.
15,15,15 Jan. 2005,Co-Dependent's Day,6.7,Marge takes up heavy drinking to spend more time with Homer. Bart and Lisa confront a famous movie director about the drop in quality his films have taken.
15,16,22 Jan. 2005,The Wandering Juvie,7.0,"After playing a prank on the whole town, Bart is sentenced to six months of juvenile detention. There he meets Gina, who forces Bart to escape with her."
15,17,29 Jan. 2005,My Big Fat Geek Wedding,6.6,Mrs. Krabapel falls for Comic Book Guy and they plan a Star Trek like wedding. Principal Skinner plans to prevent it.
15,18,5 Feb. 2005,Catch 'Em If You Can,7.0,Homer and Marge try to have a vacation without the kids but Bart and Lisa follow them everywhere they go.
15,19,12 Feb. 2005,Simple Simpson,7.3,Homer becomes a costumed vigilante who uses pies for weapons after witnessing Lisa get humiliated at a competition at the state fair.
15,20,19 Feb. 2005,The Way We Weren't,7.2,"Marge and Homer find out that they actually kissed each other at age 10 without knowing they were each other's first kisses, and tell the story about this."
15,21,26 Feb. 2005,Bart-Mangled Banner,6.2,An accidental photo showing Bart mooning the American flag makes the Simpsons the most hated family in town.
15,22,5 Mar. 2005,Fraudcast News,7.2,"After Mr. Burns is erroneously reported as dead, he buys all of he media outlets in order to prevent them from writing scathing articles about him."
16,1,29 Oct. 2005,Treehouse of Horror XV,7.4,Ned gains the power to foresee people's deaths; Maggie is shrunk inside a vitamin capsule and swallowed; Eliza Simpson and her sidekick hunt down a murderer.
16,2,3 Sep. 2005,All's Fair in Oven War,6.8,"Homer buys Marge a new kitchen, and Marge likes cooking in the new kitchen so much she attends the Ovenfresh Bakeoff."
16,3,10 Sep. 2005,Sleeping with the Enemy,7.1,"Because she thinks her own children do not appreciate her anymore, Marge becomes a mother figure for Nelson."
16,4,17 Sep. 2005,She Used to Be My Girl,6.4,"Marge becomes jealous when Lisa begins idolizing her old high school friend, Chloe Talbot, a famous reporter."
16,5,24 Sep. 2005,Fat Man and Little Boy,7.0,"Bart begins designing T-shirt slogans, and his T-shirts become very popular among the citizens of Springfield."
16,6,1 Oct. 2005,Midnight Rx,7.1,"Homer goes to Canada with Apu and Ned to purchase Grampa's medication, but the three have problems getting home because the border guard thinks Apu is a terrorist."
16,7,8 Oct. 2005,Mommie Beerest,6.8,Homer gives Moe an enormous amount of money so he doesn't have to close down.
16,8,15 Oct. 2005,Homer and Ned's Hail Mary Pass,6.2,A video of Homer dancing becomes so popular that all major sports players hires Homer to design celebration dances for them.
16,9,5 Nov. 2005,Pranksta Rap,6.5,"Bart went to a rap concert Marge told him not to go to. In order to avoid punishment from Marge, he makes Marge and Homer believe he has been kidnapped."
16,10,22 Oct. 2005,There's Something About Marrying,6.8,A townsperson comes out of the closet when Springfield legalized same-sex marriages in a plot to bolster tourism; Homer uses the Internet to become a minister.
16,11,19 Nov. 2005,On a Clear Day I Can't See My Sister,6.7,"After bullying her, Bart is restricted by court order to come too close to Lisa."
16,12,26 Nov. 2005,Goo Goo Gai Pan,6.9,"Selma decides to adopt a child, so the whole family goes to China."
16,13,3 Dec. 2005,Mobile Homer,6.7,"After a garage-cleaning accident, Marge wants Homer to get life insurance. Instead, the family gets an RV."
16,14,10 Dec. 2005,The Seven-Beer Snitch,6.7,"Springfield builds an opera house, but since no-one attends it they convert it into a prison. Old and forgotten laws are used to fill the prison, and therefore Homer goes to jail for kicking a can five times in a row. In jail, Homer becomes a snitch"
16,15,17 Dec. 2005,Future-Drama,7.2,Bart and Lisa see into the future where their lives have changed.
16,16,14 Jan. 2006,Don't Fear the Roofer,7.4,"Homer meets a new friend, Ray the Roofer, but gets confined to a mental institution when his friends and family think he made him up."
16,17,7 Jan. 2006,The Heartbroke Kid,7.1,"Bart starts living on food from the new candy machine in school only, but he becomes so overweight that he has to go to a fat camp."
16,18,21 Jan. 2006,A Star Is Torn,6.6,"Lisa attends a singing competition for children, and Homer becomes her manager because of his skill to write songs that the crowd loves."
16,19,28 Jan. 2006,Thank God It's Doomsday,7.2,"Homer hears about the Rapture, and by using numerology to calculate when the Rapture is coming he learns that it is only one week away."
16,20,4 Feb. 2006,Home Away from Homer,7.0,"After Homer humiliates Ned Flanders, Ned, Rod, and Todd decides to leave Springfield and live in Humbleton, Pennsylvania."
16,21,11 Feb. 2006,"The Father, the Son, and the Holy Guest Star",7.2,"Bart is expelled from Springfield Elementary, and Bart is therefore enrolled in St. Jerome's Catholic School."
17,1,3 Sep. 2006,The Bonfire of the Manatees,6.1,"When Marge leaves Homer because he allowed an adult movie being shot in their house, she seeks self fulfillment in protecting manatees."
17,2,10 Sep. 2006,The Girl Who Slept Too Little,6.8,A new cemetery right outside the window of Lisa's room makes Lisa suffer from many sleepless nights.
17,3,17 Sep. 2006,Milhouse of Sand and Fog,6.9,"Maggie contracts the chicken pox and Homer gets the great idea to charge parents to get their own children sick by throwing a pox party, but his plan backfires."
