season,episode,release,title,rating,description
3,10,18 Nov. 2012,"A Man, a Plan...",9.1,"Nucky plans to whack Joe Masseria and Gyp Rosetti, Richard stands up to Julia's abusive father, and Owen and Margaret plan to run off together."
3,11,25 Nov. 2012,Two Imposters,9.5,"After Owen's dead body is delivered in a crate and Margaret leaves him, Nucky spends the next day with a seriously wounded Eddie and Gyp's thugs trying to kill him."
3,12,2 Dec. 2012,Margate Sands,9.4,"After promising Rothstein Mellon's distillery, Masseria is persuaded to withdraw his support for Gyp, and Margaret finds an abortionist in Brooklyn."
4,1,8 Sep. 2013,New York Sour,8.3,"Nucky makes peace with Masseria and Rothstein, a dalliance causes Dunn Purnsley to murder a talent agent, and Gillian tries to wrest custody of Tommy."
4,2,15 Sep. 2013,Resignation,8.3,"Van Alden runs errands for O'Bannion and later for Capone. Dr. Valentin Narcisse, an educated, sophisticated thug wants retribution for the murder of Pastor."
4,3,22 Sep. 2013,Acres of Diamonds,8.1,"Former bootlegger associate Bill McCoy talks Nucky into partnering with a local Tampa hood, and Narcisse attempts to come between Nunn and Chalky."
4,4,29 Sep. 2013,All In,8.6,"Nucky decides not to partner with Rothstein on his Tampa operation, Narcisse recruits Dunn from Chalky, and Van Alden switches allegiance From O'Banion to Capone."
4,5,6 Oct. 2013,Erlkönig,9.0,"Agent Knox ruthlessly detains and badgers Eddie, Nucky pulls whatever strings he needs to to get his nephew off the hook, and Gillian becomes more heavily addicted."
4,6,13 Oct. 2013,The North Star,7.9,"With new partner Meyer Lansky for his Tampa operation, Nucky reacquaints himself with Sally Wheet, Eddie's death causes Knox to fall out with Hoover, and Sagorsky gets a grim diagnosis."
4,7,20 Oct. 2013,William Wilson,8.0,"Knox resents newly-appointed Hoover taking credit for his work, Roy helps Gillian kick heroin, Nucky and Eli clash over Willie, and Torrio feels that O'Banion's betrayed him."
4,8,27 Oct. 2013,The Old Ship of Zion,8.8,"Sally Wheet arrives from Florida with a crates of oranges and liquor, Knox continues to pursue criminal charges on the Thompsons, and Nucky helps reconcile Eli and Willie."
4,9,3 Nov. 2013,Marriage and Hunting,8.6,"Nucky refuses to involve himself in Chalky's growing conflict with Narcisse, Rothstein's need for cash pushes him to collect on Doyle's insurance, and Van Alden agrees to kill O'Banion."
4,10,10 Nov. 2013,White Horse Pike,8.9,"Nucky discovers that Lansky is betraying him by piggybacking heroin in his liquor trucks, Nacisse and Chalky are at total war, and Knox coerces Eli."
4,11,17 Nov. 2013,Havre de Grace,8.4,"Chalky and Daughter are on the run after a failed attempt on Nacisse and are being protected by his old mentor, and Willie officially joins the family business."
4,12,24 Nov. 2013,Farewell Daddy Blues,9.4,"Eli braces for the worst as Agent Knox launches his plan to bring Nucky down. Capone and Torrio reach an agreement in Cicero. Chalky looks to settle scores. Richard steps forward to save Tommy, at Gillian's expense."
5,1,7 Sep. 2014,Golden Days for Boys and Girls,8.4,"1931: Nucky is in Cuba attempting to set up networks for shipping into the US when the Volstead Act is lifted. Charlie makes a move on Joe Masseria. Chalky is in chains, and fights for his freedom. There are glimpses of Nucky's past."
5,2,14 Sep. 2014,The Good Listener,8.3,"Nucky's 1931 deal as a future importer of rum when Prohibition expires seems in jeopardy when the Senator loses interest, and in 1884 a young Nucky has to deal with his sister's death."
5,3,21 Sep. 2014,What Jesus Said,8.0,Nucky loses his senatorial interest in his alcohol distribution and seeks out new support. Margaret finds herself in trouble for a deal she made with Arnold Rothstein years before he died. Chalky is still on the run.
5,4,28 Sep. 2014,Cuanto,8.6,"Luciano encounters Capone in Chicago; Nucky and Margaret find common ground in Atlantic City. Meanwhile, Sally conducts business in Cuba as rumors swirl of a public uprising. In 1884, a young Nucky continues to impress the commodore."
5,5,5 Oct. 2014,King of Norway,8.5,"When fugitive Chalky comes to Nucky hunting for Narcisse, Nucky advises him against revenge and hides him. Van Alden and Eli are arrested, and an 1897 Nucky moves up with the Commodore."
5,6,12 Oct. 2014,Devil You Know,9.0,Chalky comes to an agreement with Narcisse to free Daughter Maitland. Nucky engages in alcoholic depravity. Van Alden and Eli try to steal Capone's ledgers.
5,7,19 Oct. 2014,Friendless Child,9.2,In 1897 Nucky's family tries to help the young Gillian and in 1931 his forces try to resist an ambitious Luciano.
5,8,21 Oct. 2014,Eldorado,9.3,"Nucky visits Gillian, Luciano and Lansky deal with Narcisse and young Nucky faces a turning point. In Chicago, Capone prepares to face trial and in New York Margaret becomes a stock operator a la Joe Kennedy. Scores are made and settled."
